id,title,description,availability,link,image link,price,identifier exists,brand,condition,item group id
INV-011,Axe Black Deodorant Body Spray 150ml - Body Spray,Axe Black Deodorant Body Spray 150ml. Long lasting fragrance.,in_stock,http://www.yourstore.com/product/axe-black-150ml,http://www.yourstore.com/images/axe-black.jpg,450.00 BDT,yes,Unilever,new,BATCH-001
INV-012,Lux Soap Soft Touch 75g - Beauty Soap,Lux Soap Soft Touch 75g. Leaves skin soft and fragrant.,in_stock,http://www.yourstore.com/product/lux-soft-touch-75g,http://www.yourstore.com/images/lux-soft-touch.jpg,55.00 BDT,yes,Unilever,new,BATCH-001
INV-013,Pepsodent Sensitive Expert 140g - Toothpaste 140g,Pepsodent Sensitive Expert Toothpaste 140g. Relief for sensitive teeth.,in_stock,http://www.yourstore.com/product/pepsodent-sensitive-expert,http://www.yourstore.com/images/pepsodent-sensitive.jpg,210.00 BDT,yes,Unilever,new,BATCH-001
INV-014,Pepsodent Germicheck 40g - Toothpaste 40g,Pepsodent Germicheck Toothpaste 40g. Travel size germ protection.,in_stock,http://www.yourstore.com/product/pepsodent-germicheck-40g,http://www.yourstore.com/images/pepsodent-germicheck-40g.jpg,50.00 BDT,yes,Unilever,new,BATCH-001
INV-015,Axe Apollo Deodorant Body Spray - Body Spray,Axe Apollo Deodorant Body Spray. Fresh and masculine scent.,in_stock,http://www.yourstore.com/product/axe-apollo,http://www.yourstore.com/images/axe-apollo.jpg,450.00 BDT,yes,Unilever,new,BATCH-001
INV-016,Radhuni Fried Rice Mix 8gm - Spice Mix,Radhuni Fried Rice Mix 8gm. Authentic spice blend for fried rice.,in_stock,http://www.yourstore.com/product/radhuni-fried-rice-mix,http://www.yourstore.com/images/radhuni-fried-rice.jpg,10.00 BDT,no,,new,BATCH-001
INV-017,Ponds Pure White 50g - Facewash,Ponds Pure White Facewash 50g. For visibly fairer skin.,in_stock,http://www.yourstore.com/product/ponds-pure-white-50g,http://www.yourstore.com/images/ponds-pure-white.jpg,120.00 BDT,yes,Unilever,new,BATCH-001
INV-018,Surf Excel Matic Liquid Top 500ml - Laundry Liquid,Surf Excel Matic Liquid Top 500ml. For automatic washing machines.,in_stock,http://www.yourstore.com/product/surf-excel-matic-500ml,http://www.yourstore.com/images/surf-matic.jpg,200.00 BDT,yes,Unilever,new,BATCH-001
INV-019,Pepsodent Sensitive Gum Care 140g - Toothpaste 140g,Pepsodent Sensitive Gum Care Toothpaste 140g. For gum health and sensitivity.,in_stock,http://www.yourstore.com/product/pepsodent-gum-care,http://www.yourstore.com/images/pepsodent-gum-care.jpg,220.00 BDT,yes,Unilever,new,BATCH-001
INV-020,Close Up Menthol Fresh Toothpaste 7g - Toothpaste 7g,Close Up Menthol Fresh Toothpaste 7g. Pocket size freshness.,in_stock,http://www.yourstore.com/product/closeup-menthol-7g,http://www.yourstore.com/images/closeup-7g.jpg,3.00 BDT,yes,Unilever,new,BATCH-001
INV-021,Radhuni Sunflower Oil 1ltr - Cooking Oil,Radhuni Sunflower Oil 1 liter. Healthy cooking oil.,in_stock,http://www.yourstore.com/product/radhuni-sunflower-oil,http://www.yourstore.com/images/radhuni-sunflower.jpg,480.00 BDT,no,,new,BATCH-001
INV-022,Ponds Pure White 100g - Facewash,Ponds Pure White Facewash 100g. Double pack for fair skin.,in_stock,http://www.yourstore.com/product/ponds-pure-white-100g,http://www.yourstore.com/images/ponds-pure-white-100g.jpg,200.00 BDT,yes,Unilever,new,BATCH-001
INV-023,Foodie Masala Noodles 8 Pack - Instant Noodles,Foodie Masala Noodles 8 pack. Quick and delicious masala noodles.,in_stock,http://www.yourstore.com/product/foodie-masala-8pack,http://www.yourstore.com/images/foodie-masala.jpg,120.00 BDT,yes,Olympic Industries Limited,new,BATCH-001
INV-024,Pepsodent Germicheck 190g - Toothpaste 190g,Pepsodent Germicheck Toothpaste 190g. Family size germ protection.,in_stock,http://www.yourstore.com/product/pepsodent-germicheck-190g,http://www.yourstore.com/images/pepsodent-190g.jpg,160.00 BDT,yes,Unilever,new,BATCH-001
INV-025,Kellogs K-Park 26g - Cereals,Kellogs K-Park 26g. Crispy and tasty cereal snack.,in_stock,http://www.yourstore.com/product/kellogs-k-park,http://www.yourstore.com/images/kellogs-kpark.jpg,20.00 BDT,yes,KELLOGS - FM DISTRIBUTION,new,BATCH-001
INV-026,Solecti Cookies - Standard Pack - Cookies,Solecti Cookies Standard Pack. Check the name - delicious cookies.,in_stock,http://www.yourstore.com/product/solecti-cookies,http://www.yourstore.com/images/solecti.jpg,20.00 BDT,yes,Olympic Industries Limited,new,BATCH-001
INV-027,Lux Soap Soft Touch 25g - Beauty Soap,Lux Soap Soft Touch 25g. Small size beauty soap.,in_stock,http://www.yourstore.com/product/lux-soft-touch-25g,http://www.yourstore.com/images/lux-25g.jpg,15.00 BDT,yes,Unilever,new,BATCH-001
INV-028,Pepsodent Sensitive Expert Fresh 15g - Free Item,Pepsodent Sensitive Expert Fresh 15g. Free promotional item.,in_stock,http://www.yourstore.com/product/pepsodent-sensitive-15g,http://www.yourstore.com/images/pepsodent-15g.jpg,12.00 BDT,yes,Unilever,new,BATCH-001
INV-029,Tang Orange Jar 750gm - Powdered Drink,Tang Orange Jar 750gm. Vitamin C rich orange drink.,in_stock,http://www.yourstore.com/product/tang-orange-750g,http://www.yourstore.com/images/tang-orange.jpg,780.00 BDT,no,,new,BATCH-001
INV-030,Orange Biscuit - Standard Pack - Biscuits,Orange Biscuit Standard Pack. Price written 4*24 but charged 8*24 - please check.,in_stock,http://www.yourstore.com/product/orange-biscuit,http://www.yourstore.com/images/orange-biscuit.jpg,5.00 BDT,yes,Olympic Industries Limited,new,BATCH-001
INV-031,Starship Jhal Chanachur 300gm - Snacks,Starship Jhal Chanachur 300gm. Spicy and crunchy mix.,in_stock,http://www.yourstore.com/product/starship-jhal-chanachur,http://www.yourstore.com/images/starship-chanachur.jpg,100.00 BDT,no,,new,BATCH-001
INV-032,Kings Pure Sunflower Oil 2L - Cooking Oil,Kings Pure Sunflower Oil 2L. Pure and healthy sunflower oil.,in_stock,http://www.yourstore.com/product/kings-sunflower-oil,http://www.yourstore.com/images/kings-oil.jpg,800.00 BDT,yes,Rupchanda - SS Trade International,new,BATCH-001
INV-033,Radhuni Jira Gura 200gm - Ground Cumin,Radhuni Jira Gura (Ground Cumin) 200gm. Aromatic spice.,in_stock,http://www.yourstore.com/product/radhuni-jira-gura-200g,http://www.yourstore.com/images/radhuni-jira.jpg,310.00 BDT,no,,new,BATCH-001
INV-034,Sunsilk Shampoo Hair Fall Solution 5.25ml - Shampoo,Sunsilk Shampoo Hair Fall Solution 5.25ml. Small sachet for hair fall control.,in_stock,http://www.yourstore.com/product/sunsilk-hairfall-5ml,http://www.yourstore.com/images/sunsilk-hairfall.jpg,3.00 BDT,yes,Unilever,new,BATCH-001
INV-035,Chocolate Plus - Classic Pack - Biscuits,Chocolate Plus Classic Pack. Chocolate flavored biscuits.,in_stock,http://www.yourstore.com/product/chocolate-plus,http://www.yourstore.com/images/chocolate-plus.jpg,10.00 BDT,yes,Olympic Industries Limited,new,BATCH-001
INV-036,Radhuni Jira Gura 100gm - Ground Cumin,Radhuni Jira Gura (Ground Cumin) 100gm. Essential for curries.,in_stock,http://www.yourstore.com/product/radhuni-jira-gura-100g,http://www.yourstore.com/images/radhuni-jira-100g.jpg,160.00 BDT,no,,new,BATCH-001
INV-037,Knorr Soup 31g - Packet Soup,Knorr Soup 31g. Quick and tasty instant soup.,in_stock,http://www.yourstore.com/product/knorr-soup-31g,http://www.yourstore.com/images/knorr-soup.jpg,165.00 BDT,yes,Unilever,new,BATCH-001
INV-038,Sunsilk Shampoo Thick & Long 5.25ml - Shampoo,Sunsilk Shampoo Thick & Long 5.25ml. For thicker, longer looking hair.,in_stock,http://www.yourstore.com/product/sunsilk-thick-long,http://www.yourstore.com/images/sunsilk-thick.jpg,3.00 BDT,yes,Unilever,new,BATCH-001
INV-039,Milk Plus - Classic Pack - Biscuits,Milk Plus Classic Pack. Milky and sweet biscuits.,in_stock,http://www.yourstore.com/product/milk-plus,http://www.yourstore.com/images/milk-plus.jpg,10.00 BDT,yes,Olympic Industries Limited,new,BATCH-001
INV-040,Radhuni Chui Jhal Mangsho Masala 38gm - Spice Mix,Radhuni Chui Jhal Mangsho Masala 38gm. Spicy meat curry mix.,in_stock,http://www.yourstore.com/product/radhuni-mangsho-masala,http://www.yourstore.com/images/radhuni-mangsho.jpg,115.00 BDT,no,,new,BATCH-001
